587410,754767,983772,643513,415572,327832,989019,243495,427418,811145
335048,820326,186077,736946,737261,620123,437803,202942,93774,577058
784937,265874,778957,545528,845063,25927,42747,412202,310567,285203
74584,268334,422973,423774,509742,556052,660726,669638,750963,788630
83364,868523,750446,797982,321093,684304,929941,515963,424234,141109
740237,597578,429833,339508,273530,263553,232218,145644,66159,28590
331105,397607,286894,197734,654577,448013,837477,196694,970184,560349
164346,968377,258138,402191,836344,65792,857349,174200,873513,318798
653283,200032,300944,772545,470125,967936,430312,916543,975003,830474
62121,612465,711622,573711,814385,961809,846463,978341,952403,593779
832782,312588,419488,499302,475957,420381,249963,588787,818307,698153
921084,903739,852319,791867,789773,609305,318307,271488,183403,93100
745814,947388,884770,439409,457690,630790,601086,2994,471535,448078
956693,378908,105332,768900,173332,919323,622354,840278,12588,560592
435057,82050,570180,522565,228439,787209,120040,729779,860456,663085
797901,513989,50381,247944,270547,84285,675576,742457,49545,584036
962958,206643,777281,293161,983517,390258,638252,679744,636564,688221
30076,556749,744954,842595,766315,557630,973345,48730,377199,508840
28638,65564,524525,47816,5057,778752,153410,11711,795880,420114
766343,705185,209693,308069,123861,144836,801068,541097,751408,773327
453902,549890,863362,938037,440247,793752,702932,637092,18229,172930
840536,649857,629785,920943,673507,189494,412216,839616,226398,641954
47159,744399,363843,788770,936386,898689,696902,150272,315900,33258
788994,731370,198150,270508,748968,503789,966714,903189,936577,416660
38659,513308,299531,591621,256827,359373,811535,629110,577641,308725
587142,629248,179570,846623,511956,613767,333245,854838,645652,524663
246244,919935,230503,870771,623936,905033,869509,395218,872295,398726
325965,844720,709457,440958,440201,35941,449829,618076,859471,934642
377903,217855,633371,390112,438495,640226,239894,500370,935927,670544
276147,322888,56779,539618,872983,791103,809120,918355,874205,248733
124779,405724,958744,209585,971916,857268,178104,413465,107117,710299
831612,674023,577746,577558,208420,881675,788177,802212,487930,744562
755420,595227,9219,530322,994766,810042,195293,121680,97175,635491
649385,599260,365161,148805,328252,10711,977025,956612,241348,599502
146418,344249,824944,787218,397469,452363,996739,629993,385352,4602
909156,302683,657923,21392,588503,403663,376178,772128,972363,518632
289572,941776,338994,533563,196827,617750,760273,644965,713667,239048
3596,879843,415988,92047,258405,208287,330308,285966,169399,8367
302884,395877,921238,726001,994733,122323,538446,61748,121837,383930
139450,911969,88158,233068,615106,593566,343636,864490,89795,589500
640185,773013,567081,166577,855748,808670,362138,737462,209820,476428
279600,765672,503395,332420,8177,345286,482125,739783,872314,326375
543545,564583,906397,2660,787545,615932,198426,929670,843827,764279
916749,908412,708018,587771,463917,399673,300894,163212,95604,925
527265,201372,408181,804667,62898,359967,272065,705375,331236,521704
50198,813125,380216,488245,121892,9695,217488,357844,628802,704074
179596,137873,341194,530945,818785,37341,397550,584016,180626,246244
242570,634318,998989,493175,559125,210322,644433,445048,234845,249746
627946,309886,187026,272179,84008,128041,887722,667159,935271,587382
285731,744099,375732,624580,663252,648452,900099,610727,758891,112787
354098,361935,438911,281937,383810,564165,305070,528136,221694,456433
890064,255085,962764,777690,510569,179139,356460,50014,423035,471305
668087,244423,658866,445503,348247,755495,803295,186575,89521,397079
26196,625729,346727,823822,873320,91682,550393,381815,682811,292458
52670,896581,4638,15860,310709,317737,69446,575852,934619,457064
178594,177617,5422,280337,868526,925805,503009,343156,840381,158511
774905,997155,939640,153740,723743,935339,920842,25680,794641,493941
338817,804806,903268,883079,670602,278890,161191,179597,691137,161226
627178,482899,201040,547887,341441,108183,436202,427603,584378,71385
876644,215842,642190,406265,716007,898943,358835,46450,953275,394655
407074,103895,924729,162189,520955,380094,106874,927914,897897,857491
189985,632051,600606,735975,747143,347285,67365,302904,305066,971897
773833,555052,260725,958107,680281,26963,881703,200502,345285,722592
578428,479987,490211,395761,742876,535428,358384,679810,711011,918162
428673,727981,825209,273822,915281,93445,148066,591423,13857,551524
110477,261407,38611,446523,264534,492371,435934,931744,355761,750445
157101,163620,129381,405791,25956,109550,641776,697471,547032,133885
360964,460926,65405,937669,8908,801556,311624,745103,923618,43433
10005,143406,242795,375740,518637,700491,730336,792101,833892,853340
782849,59484,60149,872754,403740,260982,192976,366396,161649,801722
120829,134883,966840,458130,653904,540890,264073,450614,246230,487330
10208,146517,433652,465477,492706,638479,645856,906368,961032,970121
355495,559414,116280,172836,773288,575522,652895,471348,934090,743750
929921,410352,489791,347732,272656,186901,953788,887410,432589,317522
178004,267037,56642,93596,365044,126302,563080,823964,64858,889176
774345,281677,196109,641256,451017,636040,379499,388705,821280,421619
773647,600577,306737,772627,163657,191158,908101,234136,268364,260117
133249,950790,104289,975615,925296,929228,772677,959175,779817,372160
790073,710781,487023,410990,367462,239288,220537,128028,106682,479
35631,327537,884910,652551,280461,353223,725516,569139,690290,681077
762721,719093,492875,469756,347004,324512,191827,191732,169458,129219
460498,521192,776195,390439,496520,323650,778802,749713,960563,840708
640489,533396,344238,357930,407440,797248,613192,610551,55445,852345
175523,537878,402567,457447,988737,265287,588772,980997,716049,588162
192024,719659,74277,33832,734886,940207,903248,785608,676524,497700
30625,367256,75248,706212,6774,982049,14476,189346,236266,25073
804137,109587,461045,428177,716202,752728,887744,120840,159058,428472
616182,804941,254565,37920,676049,677814,325852,955592,32210,503663
649049,361991,308513,495465,162510,236097,230735,715275,730323,565815
895766,377623,116537,589258,236801,523667,42313,40906,473268,23043
129154,176962,220946,353150,444051,464568,570295,588821,755879,909423
904738,789625,881715,231640,842563,509801,502469,373178,666321,743928
997729,821116,48030,277732,605476,450784,87193,728662,600897,585923
392631,868743,304025,300690,738049,78773,137656,704133,864922,125473
794291,766127,806248,748959,661652,279900,70810,239976,403443,498651
140076,294594,995272,832394,5159,941940,575300,746063,42843,114672
184939,229491,457207,661015,711308,825175,847024,882566,897247,972556
175102,869316,648865,472937,463002,340362,132671,726919,403992,776769
9003,198549,146952,882569,204739,534676,330523,222124,495505,650915
382344,604973,540293,936414,666051,792261,977441,963652,519669,744423
